REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
109968,2026,06,4,24,0,10,,1,1,4,,1,1,1,3,21,05,22,,,,,,,,,,,,,,,,240,,,,,,,,,5,07,7,,,,,,,,,,,1,11,,858
109969,2026,06,1,47,0,02,4,1,2,2,1,,,2,3,10,07,33,,,,320,320,1,320,320,0,,0,0,0,,26,,1500,3,1,1,4,,,,,,,,,,,,,,,,,1,05,,274
109970,2026,06,3,35,4,02,3,1,6,5,,1,1,1,3,18,06,30,,,,,,,,,,,,,,,,2,,,,,,8,6,1,4,09,11,2,,1,,1,,,3,,,1,07,,846
109971,2026,06,4,46,6,02,4,2,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,07,,230
109972,2026,06,4,59,0,10,,1,1,4,,1,1,6,2,20,08,35,,,,,,,,,,,,,,,,148,,,,,,,,,1,01,4,,,,,,,,,,,1,08,,435
109973,2026,06,1,24,1,03,6,1,6,4,1,,,2,3,14,03,13,,,,350,350,1,350,350,0,,0,0,0,,8,,3022,3,1,1,4,,,,,,,,,,,,,,,,,1,01,,559
109974,2026,06,4,46,0,12,,2,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,52
109975,2026,06,1,12,0,05,,1,6,4,1,,,1,3,21,03,13,,,,350,140,1,350,140,210,3,0,0,0,,17,,3301,1,1,4,4,,,,,,,,,,,,,,,,,1,01,,220
109976,2026,06,1,35,4,02,4,2,6,5,1,,,2,3,09,07,31,,,,400,400,1,400,400,0,,0,0,0,,2,,2000,3,2,2,4,,,,,,,,,,,,,,,,,3,04,,463
109977,2026,06,4,24,0,11,,2,5,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,01,,116
109978,2026,06,1,48,7,06,,1,1,5,1,,,2,3,04,02,08,,,,400,320,1,400,320,80,3,0,0,0,,17,,4154,3,1,2,3,,,,,,,,,,,,,,,,,1,06,2,1028
109979,2026,06,4,12,0,01,1,2,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,,134
109980,2026,06,1,46,6,06,,2,5,1,1,,,3,1,17,04,17,,,,300,300,1,300,300,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,1,14,2,182
109981,2026,06,1,35,4,10,,1,1,4,1,,,1,2,16,07,34,,,,400,400,1,400,400,0,,0,0,0,,97,,2900,1,1,4,4,,,,,,,,,,,,,,,,,1,03,3,470
109982,2026,06,3,59,0,10,,2,1,4,,1,1,2,2,01,09,40,,,,,,,,,,,,,,,,125,,,,,,1,2,1,4,09,2,2,,,,1,,,1,,,1,11,,339
109983,2026,06,1,10,0,06,,2,1,4,1,,,1,3,21,03,13,,,,350,360,1,350,360,0,,10,0,10,,216,,3067,1,1,2,4,,,,,,,,,,,,,,,,,1,03,2,73
109984,2026,06,1,35,0,07,,1,1,6,1,,,2,2,18,03,11,,,,400,240,1,400,240,160,3,0,0,0,,86,,11250,3,1,4,4,,,,,,,,,,,,,,,,,1,03,3,542
